,ARTHUR KILL RD/VETERANS RD W,RICHMOND RD/WILDER AV,RICHMOND RD/SEAVIEW AV,ARTHUR KILL RD/UNITED HEB CEM,ST GEORGE FERRY/S74 & S84,RICHMOND RD/ROCKLAND AV,RICHMOND RD/BEACON AV,ARTHUR KILL RD/WOODROW RD,RICHMOND RD/ALTOONA AV,ROSSVILLE AV/SELKIRK ST,TARGEE ST/W FINGERBOARD RD,BLOOMINGDALE RD/CORRELL AV,RICHMOND RD/SPRING ST,BLOOMINGDALE RD/KRAMER AV,TARGEE ST/SOBEL CT,RICHMOND RD/STEELE AV,BAY ST/BOROUGH PL,VAN DUZER ST/ROFF ST,BAY ST/GRANT ST,ARTHUR KILL RD/RIDGEWOOD AV,VAN DUZER ST/HILLSIDE AV,RICHMOND RD/ST PATRICKS PL,ROSSVILLE AV/CORRELL AV,ARTHUR KILL RD/ENGLEWOOD AV,RICHMOND RD/HULL AV,ARTHUR KILL RD/1547 ARTHUR KILL RD,RICHMOND RD/LONGVIEW RD,RICHMOND RD/DE KALB ST,BAY ST/WILLIAM ST,VAN DUZER ST/BALTIC ST,ROSSVILLE AV/VETERANS RD W,RICHMOND RD/TARGEE ST,BRICKTOWN SHOPPING/CENTER,RICHMOND RD/SUMMIT AV,RICHMOND RD/ROSE AV,VAN DUZER ST/BEACH ST,RICHMOND RD/HUNTER AV,ARTHUR KILL RD/MILES AV,VAN DUZER ST/YOUNG ST,RICHMOND RD/MARK ST,ARTHUR KILL RD/WINANT PL,RICHMOND RD/DELLWOOD RD,TARGEE ST/DE KALB ST,VAN DUZER ST/BROAD ST,ARTHUR KILL RD/SHARROTTS RD,BLOOMINGDALE RD/VETERANS RD E,ARTHUR KILL RD/ELVERTON AV,RICHMOND RD/BANCROFT AV,ARTHUR KILL RD/JOHNSON ST,BAY ST/NICK LAPORTE PL,ARTHUR KILL RD/OPP ASPEN KNOLLS,ARTHUR KILL RD/CLAY PIT RD,ARTHUR KILL RD/WEST SERVICE RD,BROAD ST/GORDON ST,ARTHUR KILL RD/1297 ARTHUR KILL RD,TARGEE ST/CLOVE RD,ARTHUR KILL RD/ANDROVETTE ST,BAY ST/SANDS ST,BLOOMINGDALE RD/OPP SHIEL AV,CANAL ST/WRIGHT ST,ARTHUR KILL RD/GREAVES AV,RICHMOND RD/MCKINLEY AV,ARTHUR KILL RD/CEMETERY 1 GATE,TARGEE ST/BALTIC AV,RICHMOND RD/MIDLAND AV,ARTHUR KILL RD/ARMSTRONG AV,TARGEE ST/ROFF ST,ARTHUR KILL RD/FRANKLIN LA,ARTHUR KILL RD/KREISCHER ST,BLOOMINGDALE RD/OPP KRAMER AV,RICHMOND RD/BUEL AV,ROSSVILLE AV/WOOD CT,RICHMOND RD/MC CULLY AV,RICHMOND RD/NARROWS RD S,VAN DUZER ST/OAKLAND TER,RICHMOND RD/ALTAMONT ST,ARTHUR KILL RD/CROSSFIELD AV,RICHMOND RD/ANDREWS AV,TARGEE ST/VANDERBILT AV,ARTHUR KILL RD/1666 ARTHUR KILL RD,ARTHUR KILL RD/TELEPHONE CO,RICHMOND RD/DOUGLAS RD,RICHMOND RD/SEAVER AV,RICHMOND RD/BARTON AV,RICHMOND RD/GREELEY AV,RICHMOND RD/LINCOLN AV,RICHMOND RD/EDGAR PL,TARGEE ST/YOUNG ST,ARTHUR KILL RD /CORRECTIONAL FACILITY,CANAL ST/CANAL ST,VAN DUZER ST/GRANT ST,VAN DUZER ST/BARING PL,ARTHUR KILL RD/ANNADALE RD,ARTHUR KILL RD E/VETERANS RD E,ARTHUR KILL RD/GIFFORDS LA,ELTINGVILLE/TRANSIT CENTER,VAN DUZER ST/VANDERBILT AV,ARTHUR KILL RD/CORBIN AV,BAY ST/PROSPECT ST,BROAD ST/TOMPKINS AV,RICHMOND RD/TODT HILL RD,RICHMOND RD/SPRUCE ST,ARTHUR KILL RD/CENTER ST,ROSSVILLE AV/WOODROW RD,RICHMOND RD/HUNTON ST,ROSSVILLE AV/OPP CORRELL AV,TARGEE ST/BROAD ST,ROSSVILLE AV/POND ST,ARTHUR KILL RD/CARLYLE GREEN,TARGEE ST/OSGOOD AV,RICHMOND RD/RARITAN AV,ARTHUR KILL RD/COLON AV,WOODROW RD/HELIOS PL,ARTHUR KILL RD/ELLIS RD,ARTHUR KILL RD/STORER AV,ARTHUR KILL RD/BLOOMINGDALE RD,ARTHUR KILL RD/CARLYLE GRN,ARTHUR KILL RD/NEWVALE AV,WOODROW RD/WINANT AV,BRICKTOWN SHOPPING CENTER,BAY ST/VAN DUZER EXT,TARGEE ST/PALMA DR,ARTHUR KILL RD/CORRECTIONAL FACILITY RD,ARTHUR KILL RD/ST JOHN NEWMANN,ROSSVILLE AV/BARRY  ST,RICHMOND RD/LOCUST AV,RICHMOND RD/LIGHTHOUSE AV,BAY ST/HANNAH ST,RICHMOND RD/FOUR CORNERS RD,RICHMOND RD/ENFIELD PL,RICHMOND RD/DONGAN HILLS AV,BAY ST/VICTORY BL,RICHMOND RD/NEW DORP LA,ARTHUR KILL RD/LADD AV,WOODROW RD/LENEVAR AVE,RICHMOND RD/ROME AV,TARGEE ST/ROME AV,RICHMOND RD/HITCHCOCK AV,ARTHUR KILL RD/ELLIS PL,ROSSVILLE AV/MASON BL,ARTHUR KILL RD/CHARLESTON DEPOT,RICHMOND RD/OLD TOWN RD,RICHMOND RD/BURGHER AV,ARTHUR KILL RD/VETERANS RD E,ARTHUR KILL RD/BROOKFIELD AV,BROAD ST/CEDAR ST,RICHMOND RD/BISHOP ST,TARGEE ST/DOCTORS HOSPITAL,ARTHUR KILL RD/ARDEN AV,TARGEE ST/STEUBEN ST,ARTHUR KILL RD/ARDEN HGHTS SHOP,ST GEORGE FERRY/ST GEORGE FERRY,BAY ST/SLOSSON TE,ROSSVILLE AV/VETERANS RD E,Yukon Depot (YU)
RICHMOND RD/STEELE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 ST GEORGE FERRY,,,,,,,0.141 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392 ST GEORGE FERRY,,,
VAN DUZER ST/ROFF ST,,,,,,,,,,,,,,,,,,,,,0.155 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/GRANT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/RIDGEWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.079 to depot of S74
VAN DUZER ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ST PATRICKS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSVILLE AV/CORRELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,
ARTHUR KILL RD/ENGLEWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/HULL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1547 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663 BRICKTOWN MALL via AR KILL RD,,,,,,
RICHMOND RD/LONGVIEW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/DE KALB ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/WILLIAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/BALTIC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSVILLE AV/VETERANS RD W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/TARGEE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRICKTOWN SHOPPING/CENTER,6.47 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/SUMMIT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ROSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/BEACH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/HUNTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/MILES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/YOUNG ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/MARK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 ST GEORGE FERRY,0.22 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,
ARTHUR KILL RD/WINANT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 ST GEORGE FERRY,,,,,,,,,,,,0.241 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
