,GRAND CONCOURSE/E 156 ST,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 196 ST,E MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 163 ST,SEDGWICK AV/DICKINSON AV,GRAND CONCOURSE/E 169 ST,ALBANY CR/BAILEY AV,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/E 198 ST,3 AV/E 144 ST,GRAND CONCOURSE/E 182 ST,RIVERDALE AV/W 231 ST,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/E 181 ST,3 AV/E 140 ST,W 231 ST/TIBBETT AV,SEDGWICK AV/STEVENSON PL,GRAND CONCOURSE/BEDFORD PK BL,W 231 ST/KINGSBRIDGE AV,SEDGWICK AV/STEVENSON PL 2,GRAND CONCOURSE/E 153 ST,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 180 ST,E 136 ST/LINCOLN AV,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 179 ST,HEATH AV/SUMMIT PL,SEDGWICK AV/VAN CORTLANDT AV W,3 AV/E 142 ST,GRAND CONCOURSE/MT EDEN AV,HEATH AV/ALBANY CRES,GRAND CONCOURSE/E MOSHOLU PY S,E 149 ST/MELROSE AV,E 149 ST/MORRIS AV,W MOSHOLU PY S/PAUL AV,LINCOLN AV/E 137 ST,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E 174 ST,SEDGWICK AV/FT INDEPENDENCE ST,SEDGWICK AV/GILES PL,E 149 ST/GRAND CONCOURSE,W 231 ST/BROADWAY,SEDGWICK AV/STEVENSON PL 1,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E MT EDEN AV,E 149 ST/COURTLANDT AV,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/E FORDHAM RD,W MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E 175 ST,SEDGWICK AV/HILLMAN AV,W 231 ST/CORLEAR AV,3 AV/E 138 ST,GRAND CONCOURSE/CROSS BX EXP OVERPASS,GRAND CONCOURSE/E 204 ST,W 231 ST/BAILEY AV,GRAND CONCOURSE/E 206 ST,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E 203 ST,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E KINGSBRIDGE RD,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/E 170 ST,West Farms Depot (WF)
GRAND CONCOURSE/E 182 ST,,,,,,,,,,,,,,,,,0.199 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,
RIVERDALE AV/W 231 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.554 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,
GRAND CONCOURSE/E 177 ST,,,0.303 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,1.014 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 140 ST,,,,,,,,,,,,,0.297 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,1.175 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/STEVENSON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/BEDFORD PK BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0.269 MOTT HAVEN 138 ST via CONCOURSE,,,,,
W 231 ST/KINGSBRIDGE AV,,,,,,,,,,,,,,,,,,,0.19 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/STEVENSON PL 2,,,,,,,0.332 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 153 ST,0.5 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.707 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E BURNSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.968 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,0.752 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 180 ST,,,,,,,,,,,,,,0.697 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 136 ST/LINCOLN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E CLARKE PL,,0.346 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 179 ST,,,,,,,,,,,,,,,,0.627 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,0.199 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATH AV/SUMMIT PL,,,,,,,,,0.779 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/VAN CORTLANDT AV W,,,,,,,,,,,,,,,,,,,,0.196 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 142 ST,,,,,,,,,,,,,,,,,,0.15 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/MT EDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,
HEATH AV/ALBANY CRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E MOSHOLU PY S,,,,,0.269 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/MELROSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,
