,GRAND CONCOURSE/E 174 ST,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/E 198 ST,SEDGWICK AV/DICKINSON AV,SEDGWICK AV/STEVENSON PL,HEATH AV/SUMMIT PL,GRAND CONCOURSE/E KINGSBRIDGE RD,SEDGWICK AV/GILES PL,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E 204 ST,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E MT EDEN AV,GRAND CONCOURSE/E 163 ST,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 144 ST,GRAND CONCOURSE/CROSS BX EXP OVERPASS,SEDGWICK AV/STEVENSON PL 1,SEDGWICK AV/FT INDEPENDENCE ST,W MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/E 161 ST,W 231 ST/CORLEAR AV,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E MOSHOLU PY S,SEDGWICK AV/STEVENSON PL 2,GRAND CONCOURSE/E 181 ST,GRAND CONCOURSE/E 138 ST,W 231 ST/BAILEY AV,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E 153 ST,W 231 ST/BROADWAY,GRAND CONCOURSE/E 170 ST,GRAND CONCOURSE/E 156 ST,GRAND CONCOURSE/E 182 ST,GRAND CONCOURSE/E 167 ST,RIVERDALE AV/W 231 ST,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/E 203 ST,E MOSHOLU PY S/JEROME AV,W 231 ST/KINGSBRIDGE AV,W MOSHOLU PY S/PAUL AV,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E 206 ST,LINCOLN AV/E 137 ST,W 231 ST/TIBBETT AV,HEATH AV/ALBANY CRES,E 136 ST/LINCOLN AV,GRAND CONCOURSE/MT EDEN AV,3 AV/E 138 ST,GRAND CONCOURSE/E 175 ST,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE/E 180 ST,GRAND CONCOURSE/BEDFORD PK BL,SEDGWICK AV/VAN CORTLANDT AV W,GRAND CONCOURSE/E 169 ST,ALBANY CR/BAILEY AV,SEDGWICK AV/HILLMAN AV,West Farms Depot (WF)
GRAND CONCOURSE/E CLARKE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 144 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.194 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,0.209 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/CROSS BX EXP OVERPASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.518 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,
SEDGWICK AV/STEVENSON PL 1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/FT INDEPENDENCE ST,,,,,,,0.293 RIVERDALE 231 ST via CONCOURSE,,0.317 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W MOSHOLU PY S/JEROME AV,,,,,,,,,,0.435 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 161 ST,,,,,,,,,,,,,0.453 MOTT HAVEN 138 ST via CONCOURSE,,0.493 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/MC CLELLAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.455 RIVERDALE 231 ST via CONCOURSE,,,,,1.316 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E MOSHOLU PY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/STEVENSON PL 2,,,,,0.332 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.014 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,5.757 to depot of Bx1
GRAND CONCOURSE/E 138 ST,,,,,,,,,,,,,,,,,0.39 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.233 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,
W 231 ST/BAILEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,0.266 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,
GRAND CONCOURSE/E 192 ST,,,,,,,,,,,0.195 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,1.716 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,
W 231 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,0.117 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 170 ST,,,1.029 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,0.191 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 156 ST,,,,,,,,,,,,,,,,,,,,,,,1.026 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,0.529 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 182 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,1.05 RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 167 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.899 MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 RIVERDALE 231 ST via CONCOURSE,,,
