,ANNADALE RD/NORTH PINE TER,ARTHUR KILL RD/ANNADALE RD,LUTEN AV/HYLAN BL,ELTINGVILLE/TRANSIT CENTER,LUTEN AV/DEISIUS ST,SEGUINE AV/JOHANNA LA,ANNADALE RD/HILLIS ST,MARSH AV/WINDHAM LOOP,ANNADALE RD/SOUTH RAILROAD ST,ANNADALE RD/GRANTWOOD AV,BLOOMINGDALE RD/SHARROTTS RD,LUTEN AV/EYLANDT ST,AMBOY RD/HUGUENOT AV,ANNADALE RD/DORVAL PL,BLOOMINGDALE RD/CLAY PIT RD,RICHMOND AV/YUKON AV,PLATINUM AV/TOYS R US,MARSH AV/ELMWOOD PK DR,RICHMOND AV/FOREST HILL RD,HYLAN BL/SEGUINE AV,AMBOY RD/RUGGLES ST,ARTHUR KILL RD/CROSSFIELD AV,ANNADALE RD/DRUMGOOLE RD E,ANNADALE RD/RYE AV,ANNADALE RD/TOKEN ST,SEGUINE AV/DIRENZO CT,ANNADALE RD/DRUMGOOLE RD W,BLOOMINGDALE RD/OPP KRAMER AV,AMBOY RD/KINGDOM AV,AMBOY RD/PERTERSONS LN,AMBOY RD/BAYVIEW AV,ANNADALE RD/NOTUS AV,BLOOMINGDALE RD/VETERANS RD E,BLOOMINGDALE RD/ALYSIA CT,SEGUINE AV/KNOX ST,ANNADALE RD/ARDEN AV,AMBOY RD/BLOOMINGDALE RD,BLOOMINGDALE RD/ENGLEWOOD AV,BLOOMINGDALE RD/CORRELL AV,HYLAN BL/LUTEN AV,BLOOMINGDALE RD/SOUTH SERVICE RD,PLATINUM AV/SEARS,ANNADLE RD/TYNAN ST,BLOOMINGDALE RD/OPP SHIEL AV,BLOOMINGDALE RD/PEMBROOK LOOP,ANNADALE RD/AMBOY RD,HYLAN BL/CORNELIA AV,BLOOMINGDALE RD/MARVIN RD,RICHMOND AV/PLATINUM AV,BLOOMINGDALE RD/AMBOY RD,AMBOY RD/ALVINE AV,AMBOY RD/PETERSONS LN,AMBOY RD/ARBUTUS AV,MARSH AV/RING RD,SEGUINE AV/WATERBURY AV,ANNADALE RD/CROSSFIELD AV,BLOOMINGDALE RD/KRAMER AV,ANNADALE RD/GENESEE AV,Yukon Depot (YU)
AMBOY RD/RUGGLES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 S I MALL,,,,,,,,,,,,,
ARTHUR KILL RD/CROSSFIELD AV,,,,0.964 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,
ANNADALE RD/DRUMGOOLE RD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 S I MALL,,,
ANNADALE RD/RYE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.574 S I MALL,
ANNADALE RD/TOKEN ST,,0.225 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/DIRENZO CT,,,,,,,,,,,,,,,,,,,,0.166 S I MALL,,,,,,,,,,,,,,,0.29 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,
ANNADALE RD/DRUMGOOLE RD W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/OPP KRAMER AV,,,,,,,,,,,,,,,0.213 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/KINGDOM AV,,,,,,,,,,,,,0.157 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367 S I MALL,,,,,,
AMBOY RD/PERTERSONS LN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.544 S I MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/BAYVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452 S I MALL,,,,
ANNADALE RD/NOTUS AV,,,,,,,,,,0.332 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/VETERANS RD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.789 S I MALL,,,,,,,,,,,,,,,
BLOOMINGDALE RD/ALYSIA CT,,,,,,,,,,,,,,,0.312 ROSSVILLE VETERANS RD E via AMBOY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUINE AV/KNOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326 ROSSVILLE VETERANS RD E via AMBOY RD,,,,
